,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,prefix_length
83,1,['org:resource'],road_traffic_fine_management_process,0.8103235222573583,0.691699755989685,0.7345164291810052,0.8103235222573583,804.7002695083618,dense-single,Max Case Length
84,1,['org:role'],bpi_challenge_2020,0.8199331020812686,0.7669941240694681,0.7768417950481856,0.8199331020812686,36.328814363479616,dense-multiple,Average Case Length / 2
85,1,['org:role'],bpi_challenge_2020,0.7802898909811695,0.7194156434399686,0.7324299646906256,0.7802898909811695,116.09290409088135,bi-lstm-multiple,Without prefix
86,1,['org:role'],bpi_challenge_2020,0.7703171456888008,0.7107257814436134,0.7222923819178529,0.7703171456888008,58.610978031158446,bi-lstm-single,Without prefix
87,1,['Resource'],helpdesk,0.8019205535011332,0.7443678556747567,0.7485112382259838,0.8019205535011332,96.90930981636048,transformer-multiple,Average Case Length / 2
88,1,['Resource'],helpdesk,0.8115233210067995,0.7656511833823562,0.7663726926409347,0.8115233210067995,97.92662100791931,transformer-multiple,Max Case Length
89,1,['org:group'],sepsis,0.6264778761061947,0.608652954590923,0.583658419228386,0.6264778761061947,36.85510249137879,dense-multiple,Max Case Length
90,1,['org:resource'],bpi_challenge_2012,0.6918710609770784,0.6661821992114948,0.6550739223720751,0.6918710609770784,1223.5656006813049,bi-lstm-single,Without prefix
91,1,['org:group'],sepsis,0.6496283185840708,0.6332290073003373,0.6136429551578243,0.6496283185840708,36.11805963516235,dense-multiple,Average Case Length / 2
92,1,['org:group'],sepsis,0.6258407079646018,0.5836809511211999,0.5757065227930223,0.6258407079646018,29.433982849121094,dense-single,Max Case Length
93,1,['Resource'],helpdesk,0.8003697960157462,0.7607585013539581,0.7453429699031491,0.8003697960157462,220.20354619026185,bi-lstm-multiple,Without prefix
94,1,['Resource'],helpdesk,0.8004890850530836,0.7249932182971947,0.7408132691521107,0.8004890850530836,55.227782821655275,transformer-single,Without prefix
95,1,['org:role'],bpi_challenge_2020,0.8289147670961348,0.7784603141976317,0.7885370626932771,0.8289147670961348,38.19000358581543,dense-single,Max Case Length
96,1,['Resource'],helpdesk,0.8096146964094,0.7771141008367664,0.7655219909879657,0.8096146964094,56.99192767143249,transformer-single,Average Case Length
97,1,['Resource'],helpdesk,0.7972682810449719,0.7171587927057836,0.7381704582585132,0.7972682810449719,95.8270700931549,transformer-multiple,Without prefix
98,1,['org:resource'],bpi_challenge_2012,0.861133635743246,0.824080483307895,0.8295109183649729,0.861133635743246,576.7260966777801,dense-multiple,Average Case Length / 2
99,1,['org:resource'],road_traffic_fine_management_process,0.8097567501824373,0.6946300312672272,0.734186423980501,0.8097567501824373,1009.6492106437684,dense-multiple,Average Case Length / 2
100,1,['org:group'],sepsis,0.6475752212389381,0.6264994184377572,0.6082395162168966,0.6475752212389381,13132.057359552384,bi-lstm-multiple,Max Case Length
101,1,['org:role'],bpi_challenge_2020,0.8191897918731417,0.7774039546852403,0.7821638375262474,0.8191897918731417,653.2676812648773,bi-lstm-multiple,Max Case Length
102,1,['org:resource'],bpi_challenge_2017,0.7259770609759848,0.6676849546147935,0.6755072069172049,0.7259770609759848,2825.788271188736,dense-multiple,Without prefix
103,1,['org:group'],sepsis,0.5426548672566371,0.509890292121396,0.4907134848576355,0.5426548672566371,151.84704446792603,bi-lstm-multiple,Without prefix
104,1,['org:resource'],bpi_challenge_2012,0.8621412227530006,0.8246479350804383,0.8297461849856836,0.8621412227530006,585.0773896694184,dense-multiple,Max Case Length
105,1,['org:resource'],road_traffic_fine_management_process,0.811405983945512,0.6914088972528776,0.7335256193373086,0.811405983945512,823.3448841094971,dense-single,Average Case Length
106,1,['org:resource'],bpi_challenge_2017,0.9017540802695011,0.8705838078045384,0.8781918909594625,0.9017540802695011,4131.066628885269,transformer-single,Max Case Length
107,1,['org:role'],bpi_challenge_2020,0.807358771060456,0.7659913328014122,0.7682898035279552,0.807358771060456,201.28065567016603,bi-lstm-multiple,Average Case Length / 2
108,1,['org:resource'],bpi_challenge_2017,0.9034965441133763,0.8722700165897556,0.8795377133331169,0.9034965441133763,2385.482357120514,dense-single,Average Case Length / 2
109,1,['org:resource'],bpi_challenge_2012,0.6938059491790776,0.6765415415824994,0.6624251339843865,0.6938059491790776,1263.626403903961,transformer-multiple,Without prefix
110,1,['org:role'],bpi_challenge_2020,0.8230921704658077,0.778962481731102,0.7860347362322704,0.8230921704658077,152.14004034996032,bi-lstm-single,Average Case Length
111,1,['org:resource'],bpi_challenge_2012,0.8600297057524788,0.824348464558703,0.8288959393910702,0.8600297057524788,471.2600418567657,dense-single,Max Case Length
112,1,['org:group'],sepsis,0.6463716814159292,0.6354595178195951,0.6108913593421487,0.6463716814159292,81.84913992881775,transformer-multiple,Average Case Length
113,1,['org:role'],bpi_challenge_2020,0.8222249752229931,0.7666096671780723,0.7786483026749174,0.8222249752229931,167.76321563720703,transformer-multiple,Average Case Length / 2
114,1,['org:role'],bpi_challenge_2020,0.8286669970267592,0.7810420758569072,0.7908109056729992,0.8286669970267592,313.90388026237486,bi-lstm-multiple,Average Case Length
115,1,['org:resource'],bpi_challenge_2017,0.8999193683397736,0.8671236721461149,0.8760907713275211,0.8999193683397736,6946.596225404739,transformer-multiple,Max Case Length
116,1,['org:resource'],bpi_challenge_2017,0.9051834882759516,0.8770205077414865,0.8819688322212277,0.9051834882759516,2317.409527587891,dense-single,Max Case Length
117,1,['org:role'],bpi_challenge_2020,0.7687685827552032,0.7125846263435293,0.7240876610086842,0.7687685827552032,114.11392216682434,transformer-multiple,Without prefix
118,1,['Resource'],helpdesk,0.8112847429321245,0.7811963227321141,0.7655574759370102,0.8112847429321245,56.669044494628906,transformer-single,Max Case Length
119,1,['org:group'],sepsis,0.6493451327433628,0.6416155310984464,0.6167264982772547,0.6493451327433628,4428.625783109665,bi-lstm-single,Max Case Length
120,1,['org:group'],sepsis,0.6525309734513274,0.6417381333511596,0.6187158600428853,0.6525309734513274,221.75821361541747,bi-lstm-single,Average Case Length / 2
121,1,['org:resource'],bpi_challenge_2017,0.7278570427996952,0.67098643460172,0.67905635602934,0.7278570427996952,3814.379132652283,transformer-single,Without prefix
122,1,['org:resource'],bpi_challenge_2017,0.9006940814311436,0.8651195405847981,0.8756577377904948,0.9006940814311436,6703.543098211288,transformer-multiple,Average Case Length / 2
