,context-size,context_columns,prefix_index,dateset,accuracy,precision,fscore,recall,model_type,token_type
157,1,['org:group'],88,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
158,1,['org:group'],89,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
159,1,['org:group'],9,sepsis,0.37101063829787234,0.3695370741751585,0.28866289822568253,0.37101063829787234,dense-multiple,Without History
160,1,['org:group'],90,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
161,1,['org:group'],91,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
162,1,['org:group'],92,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
163,1,['org:group'],93,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
164,1,['org:group'],94,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
165,1,['org:group'],95,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
166,1,['org:group'],96,sepsis,0.0,0.0,0.0,0.0,dense-multiple,Without History
167,1,['org:group'],97,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
168,1,['org:group'],98,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,dense-multiple,Without History
169,1,['org:group'],99,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,dense-multiple,Without History
170,1,['workgroup'],1,helpdesk,0.8435181143605412,0.8203450861523169,0.7966167579738019,0.8435181143605412,transformer-single,Without History
171,1,['workgroup'],10,helpdesk,0.6875,0.5291666666666666,0.590625,0.6875,transformer-single,Without History
172,1,['workgroup'],11,helpdesk,0.7777777777777778,0.7222222222222222,0.7407407407407407,0.7777777777777778,transformer-single,Without History
173,1,['workgroup'],12,helpdesk,1.0,1.0,1.0,1.0,transformer-single,Without History
174,1,['workgroup'],13,helpdesk,1.0,1.0,1.0,1.0,transformer-single,Without History
175,1,['workgroup'],14,helpdesk,1.0,1.0,1.0,1.0,transformer-single,Without History
176,1,['workgroup'],15,helpdesk,0.7927352976261481,0.7160160347103008,0.7316748760738486,0.7927352976261481,transformer-single,Without History
177,1,['workgroup'],2,helpdesk,0.7041730391085864,0.532200059812993,0.6034702852724273,0.7041730391085864,transformer-single,Without History
178,1,['workgroup'],3,helpdesk,0.8059052414740215,0.7598619889682251,0.7590245018272922,0.8059052414740215,transformer-single,Without History
179,1,['workgroup'],4,helpdesk,0.8304812834224599,0.7703247667664039,0.7842587332347281,0.8304812834224599,transformer-single,Without History
180,1,['workgroup'],5,helpdesk,0.8254172015404364,0.764131312723387,0.7827072347750155,0.8254172015404364,transformer-single,Without History
181,1,['workgroup'],6,helpdesk,0.8369230769230769,0.7798199937025572,0.8005269251418552,0.8369230769230769,transformer-single,Without History
182,1,['workgroup'],7,helpdesk,0.8523489932885906,0.8205262862234316,0.8170907130346025,0.8523489932885906,transformer-single,Without History
183,1,['workgroup'],8,helpdesk,0.7547169811320755,0.6937106918238993,0.7005431675242996,0.7547169811320755,transformer-single,Without History
184,1,['workgroup'],9,helpdesk,0.7142857142857143,0.6424319727891158,0.6587662337662338,0.7142857142857143,transformer-single,Without History
185,1,['org:group'],1,sepsis,0.9018112488083889,0.847661850351099,0.8687405575503149,0.9018112488083889,transformer-single,Max Case Length
186,1,['org:group'],10,sepsis,0.48005698005698005,0.4531809722662689,0.41296783970928713,0.48005698005698005,transformer-single,Max Case Length
187,1,['org:group'],100,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
188,1,['org:group'],101,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
189,1,['org:group'],102,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
190,1,['org:group'],103,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
191,1,['org:group'],104,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
192,1,['org:group'],105,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
193,1,['org:group'],106,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
194,1,['org:group'],107,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,transformer-single,Max Case Length
195,1,['org:group'],108,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,transformer-single,Max Case Length
196,1,['org:group'],109,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,transformer-single,Max Case Length
197,1,['org:group'],11,sepsis,0.40950920245398775,0.35955599076898304,0.34547037694274724,0.40950920245398775,transformer-single,Max Case Length
198,1,['org:group'],110,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
199,1,['org:group'],111,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
200,1,['org:group'],112,sepsis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,transformer-single,Max Case Length
201,1,['org:group'],113,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
202,1,['org:group'],114,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
203,1,['org:group'],115,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
204,1,['org:group'],116,sepsis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,transformer-single,Max Case Length
205,1,['org:group'],117,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
206,1,['org:group'],118,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
207,1,['org:group'],119,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
208,1,['org:group'],12,sepsis,0.45789473684210524,0.3619946927067782,0.3794017826516971,0.45789473684210524,transformer-single,Max Case Length
209,1,['org:group'],120,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
210,1,['org:group'],121,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
211,1,['org:group'],122,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
212,1,['org:group'],123,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
213,1,['org:group'],124,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
214,1,['org:group'],125,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
215,1,['org:group'],126,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
216,1,['org:group'],127,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
217,1,['org:group'],128,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
218,1,['org:group'],129,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
219,1,['org:group'],13,sepsis,0.43067226890756305,0.3371214091314369,0.3411340229402622,0.43067226890756305,transformer-single,Max Case Length
220,1,['org:group'],130,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
221,1,['org:group'],131,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
222,1,['org:group'],132,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
223,1,['org:group'],133,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
224,1,['org:group'],134,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
225,1,['org:group'],135,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
226,1,['org:group'],136,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
227,1,['org:group'],137,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
228,1,['org:group'],138,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
229,1,['org:group'],139,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
230,1,['org:group'],14,sepsis,0.4105793450881612,0.335505187507513,0.3329211784263301,0.4105793450881612,transformer-single,Max Case Length
231,1,['org:group'],140,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
